Journal,Quartile,IF
south african journal of cultural history,Q3,0.1
south african journal of economic and management sciences,Q3,1.2
south african journal of economics,Q3,1.3
south african journal of education,Q3,0.7
south african journal of enology and viticulture,Q4,1.4
south african journal of geology,Q2,1.1
south african journal of geomatics,Q4,0.6
south african journal of higher education,Q3,0.8
south african journal of industrial engineering,Q4,0.7
south african journal of information management,Q3,1.1
south african journal of international affairs sajia,Q2,1.9
south african journal of libraries and information science,Q3,1.1
south african journal of philosophy,,0.3
south african journal of physiotherapy,Q3,1.3
south african journal of plant and soil,Q4,0.6
south african journal of psychiatry,Q4,1.3
south african journal of psychology,Q3,1.1
south african journal of science,Q2,1.9
south african journal of surgery,Q4,0.6
south african journal on human rights,Q2,0.6
south african museums association bulletin,,<0.1
south african review of sociology,Q4,0.5
south african statistical journal,Q4,0.4
south african theatre journal,,0.3
south american journal of herpetology,Q3,1
south asia journal of south asian studies,Q1,0.5
south asia research,Q3,0.4
south asian diaspora,Q3,0.6
south asian history and culture,,0.5
south asian journal of business studies,Q3,2.9
south asian journal of cancer,Q4,0.7
south asian journal of human resource management,Q3,1.7
south asian journal of macroeconomics and public finance,Q3,0.9
south asian popular culture,Q3,0.3
south asian review,,0.6
south asian studies,,0.6
south atlantic quarterly,Q2,1.1
south central review,,0.1
south east asia research,,0.7
south east asian journal of management,Q4,1
south east european journal of economics and business,Q4,0.6
south european society and politics,Q1,3.4
south of russia ecology development,Q4,0.3
southeast asian bulletin of mathematics,Q4,0.1
southeast asian studies,Q2,0.9
southeast european and black sea studies,Q1,2.1
southeastern europe,Q3,0.5
southeastern geographer,Q3,0.9
southeastern naturalist,Q4,0.4
southern african business review,Q3,0.5
southern african humanities,,0.6
southern african journal of accountability and auditing research sajaar,Q4,0.3
southern african journal of anaesthesia and analgesia,Q4,0.3
southern african journal of critical care,Q4,1.2
southern african journal of entrepreneurship and small business management sajesbm,Q3,1.7
southern african journal of gynaecological oncology,Q4,<0.1
southern african journal of hiv medicine,Q3,1.8
southern african journal of infectious diseases,Q4,1.2
southern african linguistics and applied language studies,Q3,0.5
southern california law review,Q1,1.4
southern communication journal,Q3,0.7
southern cultures,Q2,0.3
southern economic journal,Q3,1.1
southern forests a journal of forest science,Q3,1.2
southern humanities review,,<0.1
southern journal of philosophy,,0.6
southern medical journal,Q3,0.9
southwestern entomologist,Q4,0.4
southwestern historical quarterly,Q2,0.3
southwestern naturalist,Q4,0.3
soviet and post soviet review,Q1,0.7
sovremennye tehnologii v medicine,Q4,1
soziale welt zeitschrift fur sozialwissenschaftliche forschung und praxis,Q4,0.6
space,,0.1
space and culture,Q1,1.2
space and polity,Q2,1.4
space form,,0.2
space policy,Q1,2.7
space science and technology,Q4,0.4
space science reviews,Q1,9.8
space science technology,Q1,6.4
space weather the international journal of research and applications,Q1,3.8
spal,,0.7
spanish in context,Q3,0.6
spanish journal of agricultural research,Q3,1
spanish journal of finance and accounting revista espanola de financiacion y contabilidad,Q3,1
spanish journal of marketing esic,Q1,6
spanish journal of medical education,Q4,0.7
spanish journal of psychiatry and mental health,Q2,2.6
spanish journal of psychology,Q1,2.8
spanish journal of soil science,Q3,2.6
spatial and spatio temporal epidemiology,Q3,1.5
spatial cognition and computation,Q3,1.8
spatial demography,Q3,1.6
spatial economic analysis,Q1,2.9
spatial information research,Q3,2.5
spatial statistics,Q1,2.7
spazi della musica,,<0.1
spe journal,Q2,2.9
spe polymers,Q1,6.4
special care in dentistry,Q3,1.4
special matrices,Q3,0.7
special topics reviews in porous media an international journal,Q3,2.1
spectrochimica acta part a molecular and biomolecular spectroscopy,Q1,4.8
spectrochimica acta part b atomic spectroscopy,Q1,3.5
spectroscopy,Q3,1.7
spectroscopy and spectral analysis,Q4,0.8
spectroscopy letters,Q3,1.4
spectrum,Q3,0.7
specula revista de humanidades y espiritualidad,Q3,0.1
speculum a journal of medieval studies,,1
speech communication,Q2,2.9
speech language and hearing,Q3,1.1
spektrum der augenheilkunde,Q4,0.1
spiegel der letteren,,<0.1
spin,Q4,0.8
spinal cord,Q2,1.8
spinal cord series and cases,Q4,0.7
spine,Q1,3.7
spine deformity,Q3,1.7
spine journal,Q1,5.1
spine surgery and related research,Q3,1.6
spirituality in clinical practice,Q4,0.9
spirituality studies,,0.4
spiritus a journal of christian spirituality,,0.6
spisanie na bulgarskoto geologichesko druzhestvo review of the bulgarian geological society,Q4,0.3
spixiana,Q4,0.5
sport business and management an international journal,Q3,1.9
sport education and society,Q1,2.7
sport ethics and philosophy,Q3,1.4
sport exercise and performance psychology,Q2,3.4
sport history review,Q1,0.5
sport in history,Q4,0.6
sport in society,Q2,2.1
sport management education journal,Q3,0.9
sport management review,Q1,3.9
sport marketing quarterly,Q3,1.8
sport psychologist,Q3,1.3
sport sciences for health,Q3,1.3
sport tk revista euroamericana de ciencias del deporte,Q4,0.3
sportis scientific technical journal of school sport physical education and psychomotricity,Q3,1
sports,Q1,3.2
sports biomechanics,Q3,2
sports coaching review,Q3,2.2
sports engineering,Q3,1.4
sports health a multidisciplinary approach,Q2,3.1
sports medicine,Q1,11
sports medicine and arthroscopy review,Q3,1.5
sports medicine and health science,Q2,3.1
sports medicine open,Q1,6.2
sportverletzung sportschaden,Q4,0.5
sprache stimme gehor,Q4,0.1
sprachwissenschaft,,0.1
spur scholarship and practice of undergraduate research,Q3,0.7
sravnitelnaya politika comparative politics,Q4,0.1
sri lanka journal of social sciences,Q3,1
sri lankan journal of anaesthesiology,Q4,0.2
srpski arhiv za celokupno lekarstvo,Q4,0.2
ssm mental health,Q1,3.4
ssm population health,Q1,3.7
ssm qualitative research in health,Q2,2.5
st petersburg mathematical journal,Q3,0.5
st petersburg polytechnic university journal physics and mathematics,Q4,0.2
st theresa journal of humanities and social sciences,Q4,0.1
stability international journal of security and development,Q1,4
stahlbau,Q4,0.5
stand,,<0.1
stanford law review,Q1,4.6
stanislavski studies,,0.1
stanovnistvo,Q4,0.6
staps sciences et techniques des activites physiques et sportives,Q4,0.4
star protocols,Q4,1.4
starch starke,Q3,2.6
stat,Q3,0.8
stata journal,Q1,3
state crime,Q2,2
state politics policy quarterly,Q3,1.2
statistica neerlandica,Q3,1
statistica sinica,Q3,1.2
statistical analysis and data mining an asa data science journal,Q3,1.1
statistical applications in genetics and molecular biology,Q3,0.8
statistical journal of the iaos,Q4,0.6
statistical methods and applications,Q2,1.3
statistical methods in medical research,Q1,2.4
statistical modelling,Q3,0.8
statistical papers,Q2,1.5
statistical science,Q1,6.6
statistical theory and related fields,Q1,2.4
statistics,Q2,1.4
statistics and applications,Q4,0.5
statistics and computing,Q2,1.8
statistics and its interface,Q4,0.4
statistics and public policy,Q4,0.9
statistics in biopharmaceutical research,Q2,1.6
statistics in biosciences,Q4,0.5
statistics in medicine,Q1,2.1
statistics in transition,Q4,0.4
statistics probability letters,Q4,0.7
statistics risk modeling,Q4,0.5
statistics surveys,Q1,8.2
statistika statistics and economy journal,Q4,0.6
stats,Q3,1.1
statute law review,Q2,0.6
steel and composite structures,Q2,3.2
steel construction design and research,Q3,1.8
steel research international,Q2,2.3
steinbeck review,,0.1
stellenbosch papers in linguistics plus spil plus,Q4,0.3
stellenbosch theological journal,,0.2
stem cell reports,Q1,5.6
stem cell research,Q4,0.6
stem cell research therapy,Q1,7.8
stem cell reviews and reports,Q2,4.9
stem cells,Q1,4.8
stem cells and cloning advances and applications,Q4,1.7
stem cells and development,Q3,1.9
stem cells international,Q3,3.6
stem cells translational medicine,Q1,5.9
stereotactic and functional neurosurgery,Q2,2.1
steroids,Q3,2.7
stigma and health,Q3,1.7
stilistica e metrica italiana,,0.1
stoa,,0.1
stochastic analysis and applications,Q4,0.6
stochastic environmental research and risk assessment,Q1,3.8
stochastic models,Q4,0.7
stochastic processes and their applications,Q3,1.2
stochastics an international journal of probability and stochastic processes,Q3,0.8
stochastics and dynamics,Q4,0.6
stochastics and partial differential equations analysis and computations,Q1,2.2
storia del pensiero politico,Q4,0.1
storia dell arte,,<0.1
storia delle donne,Q4,0.1
storica,Q3,0.1
storinky istoriyi history pages,Q3,0.1
strabismus,Q4,0.7
strahlentherapie und onkologie,Q2,2.8
strain,Q3,1.8
strategic analysis,Q4,0.6
strategic behavior and the environment,Q4,0.2
strategic change briefings in entrepreneurial finance,Q1,4.3
strategic entrepreneurship journal,Q1,6.7
strategic management,Q3,1.5
strategic management journal,Q1,7.6
strategic organization,Q3,3
strategic review for southern africa,Q4,0.3
strategies in trauma and limb reconstruction,Q4,0.7
strategy science,Q1,6.7
stratigraphy,Q2,1.4
stratigraphy and geological correlation,Q2,1.1
stratum plus,,0.3
strenae recherches sur les livres et les objets culturels de l enfance,,0.1
strength and conditioning journal,Q1,3.2
strength fracture and complexity,Q4,0.2
strength of materials,Q4,0.8
stress and health,Q2,2.9
stress biology,Q1,6.4
stress the international journal on the biology of stress,Q1,3.7
strojniski vestnik journal of mechanical engineering,Q3,1.6
stroke,Q1,11.1
stroke and vascular neurology,Q1,4.8
stroke research and treatment,Q3,1.8
stroke vascular and interventional neurology,Q2,3.1
structural and multidisciplinary optimization,Q1,4.5
structural change and economic dynamics,Q1,6.1
structural chemistry,Q3,2.3
structural concrete,Q2,3.4
structural control health monitoring,Q1,5
structural design of tall and special buildings,Q3,1.8
structural dynamics us,Q2,2.9
structural engineering and mechanics,Q2,3.2
structural engineering international,Q3,1.3
structural equation modeling a multidisciplinary journal,Q1,3.5
structural health monitoring an international journal,Q1,5.7
structural heart the journal of the heart team,Q2,3.4
structural integrity and life integritet i vek konstrukcija,Q3,0.9
structural monitoring and maintenance an international journal,Q4,0.9
structural safety,Q1,5.7
structure,Q1,4.6
structure and infrastructure engineering,Q2,3.1
structures,Q1,4.9
strumenti critici,,0.1
student success,Q2,1.5
studi e problemi di critica testuale,,<0.1
studi e saggi linguistici,Q4,0.3
studi francesi,,<0.1
studi irlandesi a journal of irish studies,Q4,0.1
studi ispanici,,0.1
studi kantiani,,0.1
studi medievali,,0.1
studi musicali nuova serie,,<0.1
studi pasoliniani rivista internazionale,,0.1
studi piemontesi,,<0.1
studi secenteschi,,<0.1
studi storici,Q3,0.2
studia aurea revista de literatura espanola y teoria literaria del renacimiento y siglo de oro,,0.5
studia austriaca,,0.1
studia canonica,,0.2
studia ceranea,,<0.1
studia et documenta,,0.1
studia ethnologica croatica,Q4,0.2
studia europejskie studies in european affairs,Q3,0.5
studia geophysica et geodaetica,Q4,1
studia geotechnica et mechanica,Q4,1.1
studia historiae oeconomicae,Q2,0.3
studia historiae scientiarum,Q3,0.3
studia historica historia antigua,Q4,<0.1
studia historica historia medieval,,0.2
studia historica historia moderna,Q2,0.3
studia islamika,,0.5
studia leibnitiana,,<0.1
studia linguistica,,0.7
studia litterarum,,0.2
studia logica,Q2,0.9
studia mathematica,Q3,0.7
studia metrica et poetica,,0.6
studia musicologica,,0.2
studia neoaristotelica a journal of analytical scholasticism,,0.1
studia neophilologica,,0.3
studia phaenomenologica,,0.3
studia philosophica kantiana,,0.2
studia prawnicze kul,Q4,0.1
studia psychologica,Q4,0.8
studia quaternaria,Q4,0.6
studia rosenthaliana,,0.1
studia scientiarum mathematicarum hungarica,Q3,0.5
studia semiotyczne,,0.1
studia slavica et balcanica petropolitana,Q3,0.2
studia theodisca,,0.2
studia theologica czech republic,,0.1
studia theologica nordic journal of theology,,0.8
studia universitatis babes bolyai chemia,Q4,0.6
studia universitatis babes bolyai mathematica,Q3,0.5
studia universitatis babes bolyai musica,,0.1
studia universitatis babes bolyai philologia,,0.1
studia universitatis babes bolyai philosophia,,0.2
studia universitatis vasile goldis arad seria stiinte economice,Q3,0.9
studia warminskie,,0.2
studia z filologii polskiej i slowianskiej,,0.1
studia z prawa wyznaniowego,Q3,0.4
studien zur deutschen sprache und literatur alman dili ve edebiyati dergisi,Q4,0.1
studies in agricultural economics,Q3,1.4
studies in american fiction,,0.3
studies in american humor,,0.6
studies in american jewish literature,,0.1
studies in american political development,Q3,1.3
studies in applied mathematics,Q1,2.4
studies in art education,Q3,1.3
studies in australasian cinema,,0.3
studies in business and economics,Q3,1.2
studies in canadian literature etudes en litterature canadienne,,0.1
studies in chinese religions,,0.2
studies in christian ethics,,0.5
studies in clinical social work transforming practice education and research,Q4,0.6
studies in comics,,0.1
studies in comparative international development,Q2,1.9
studies in conflict terrorism,Q2,1.8
studies in conservation,Q4,0.9
studies in continuing education,Q2,1.9
studies in documentary film,,0.6
studies in east european thought,Q4,0.4
studies in eastern european cinema,,0.5
studies in economics and finance,Q2,2.7
studies in educational evaluation,Q1,3.9
studies in english literature 1500 1900,,0.3
studies in ethnicity and nationalism,Q3,0.6
studies in european cinema,,0.2
studies in family planning,Q1,3.9
studies in graduate and postdoctoral education,Q3,1.2
studies in higher education,Q1,4.9
studies in history,Q2,0.3
studies in history and philosophy of science,Q1,1.3
studies in history and theory of architecture studii de istoria si teoria arhitecturii,,0.2
studies in indian politics,Q3,0.6
studies in informatics and control,Q3,1.8
studies in language,Q3,0.6
studies in language assessment,Q3,0.5
studies in latin american popular culture,,0.1
studies in musical theatre,,<0.1
studies in mycology,Q1,18.3
studies in nonlinear dynamics and econometrics,Q3,1.2
studies in peoples history,Q3,0.2
studies in philology,,0.2
studies in philosophy and education,Q3,1.2
studies in psychology,Q3,0.9
studies in psychology psikoloji calismalari dergisi,Q4,0.3
studies in religion sciences religieuses,,0.3
studies in romanticism,,0.1
studies in russian and soviet cinema,,0.1
studies in science education,Q1,10.3
studies in second language acquisition,Q1,5.2
studies in second language learning and teaching,Q1,5.1
studies in self access learning journal,Q3,0.7
studies in social justice,Q3,0.6
studies in spirituality,,N/A
studies in the education of adults niace,Q3,1.1
studies in the history of gardens designed landscapes,,0.3
studies in the novel,,0.4
studies in theatre and performance,,0.4
studies in world christianity,,0.4
studies on neotropical fauna and environment,Q4,0.6
studii de lingvistica,,<0.1
studijne zvesti archeologickeho ustavu slovenskej akademie vied,,0.1
studying teacher education,Q2,1.6
stuf language typology and universals,,0.5
style,,0.5
su urunleri dergisi,Q4,0.5
sub stance,,0.6
subjectivity,Q2,1.1
substance abuse,Q2,2.7
substance abuse and rehabilitation,Q1,3.2
substance abuse research and treatment,Q1,4.3
substance abuse treatment prevention and policy,Q1,3.4
substance use addiction journal,Q2,2.4
substance use misuse,Q3,1.7
substance use research and treatment,Q3,1.8
subterranean biology,Q3,1.2
sucht interdisciplinary journal of addiction research,Q4,0.8
suchttherapie,Q4,0.2
sudan journal of medical sciences,Q3,0.6
sugar industry international,Q4,0.1
sugar industry zuckerindustrie,Q4,0.3
sugar tech,Q2,1.9
suicide and life threatening behavior,Q2,2.5
suicidology,Q4,0.1
suma de negocios,Q4,0.7
sumarski list,Q4,0.5
sun yat sen journal of humanities,,<0.1
sungkyun journal of east asian studies,,0.3
superconductivity,Q1,9.2
superconductor science technology,Q2,3.4
supply chain analytics,Q1,9.1
supply chain forum,Q3,2.4
supply chain management an international journal,Q1,11
support for learning,Q4,0.8
supportive care in cancer,Q1,3.4
supramolecular chemistry,Q4,1.3
supramolecular materials,Q1,8.2
supreme court review,Q1,2.3
suranaree journal of science and technology,Q4,0.3
surface and interface analysis,Q3,2.7
surface coatings international,Q4,0.1
surface coatings technology,Q1,6.9
surface engineering,Q3,2.2
surface engineering and applied electrochemistry,Q4,0.8
surface innovations,Q3,1.9
surface review and letters,Q4,1.1
surface science,Q3,2.3
surface science and technology,Q1,7
surface science reports,Q1,11.6
surface science spectra,Q4,1.4
surface topography metrology and properties,Q2,2.3
surfaces,Q3,2.7
surfaces and interfaces,Q1,6
surgeon journal of the royal colleges of surgeons of edinburgh and ireland,Q1,2.7
surgeries,Q3,1.5
surgery,Q1,3.2
surgery for obesity and related diseases,Q1,3.2
surgery in practice and science,Q3,1.2
surgery journal,Q4,0.8
surgery open science,Q3,1.6
surgery today,Q2,2.3
surgical and radiologic anatomy,Q2,1.5
surgical case reports,Q4,0.7
surgical clinics of north america,Q2,2.5
surgical endoscopy and other interventional techniques,Q1,3.3
surgical infections,Q3,1.7
surgical innovation,Q2,2.2
surgical laparoscopy endoscopy percutaneous techniques,Q3,1.3
surgical oncology clinics of north america,Q2,1.9
surgical oncology insight,Q3,1
surgical oncology oxford,Q2,2.1
surgical practice,Q4,0.2
surgical techniques development,Q4,0.5
surgical technology international international developments in surgery and surgical research,Q3,1.1
surveillance society,Q2,1.4
survey methodology,Q4,0.6
survey of ophthalmology,Q1,6.8
survey research methods,Q3,1
survey review,Q3,1.4
surveys in geophysics,Q1,6.2
survival,Q3,1.4
susmat,Q1,19.2
sustainability,Q2,4.1
sustainability accounting management and policy journal,Q1,8.8
sustainability and climate change,Q4,0.8
sustainability science,Q2,5.3
sustainability science practice and policy,Q2,4.9
sustainable and resilient infrastructure,Q3,2.4
sustainable chemistry,Q2,5
sustainable chemistry and pharmacy,Q1,6.7
sustainable chemistry for climate action,Q1,9.1
sustainable cities and society,Q1,13.3
sustainable computing informatics systems,Q1,6.2
sustainable development,Q1,9.3
sustainable energy fuels,Q2,4.6
sustainable energy grids networks,Q1,5.7
sustainable energy technologies and assessments,Q2,7.4
sustainable environment,Q2,3.9
sustainable environment research,Q2,4.5
sustainable food technology,Q1,9
sustainable futures,Q1,6.7
sustainable horizons,Q1,7.8
sustainable materials and technologies,Q1,9.7
sustainable production and consumption,Q1,9.2
sustainable structures,Q1,9
sustainable water resources management,Q3,2.6
suvremena lingvistika,,0.4
svmma revista de cultures medievals,,0.1
swarm and evolutionary computation,Q1,9.6
swarm intelligence,Q3,2.5
swiat i slowo,,<0.1
swiss journal of geosciences,Q2,2.4
swiss journal of palaeontology,Q1,2.4
swiss medical weekly,Q2,1.6
swiss political science review,Q2,1.9
sydney law review,Q2,0.6
sydowia,Q4,1.2
sylwan,Q4,0.7
symbiosis,Q3,2.9
symbolae osloenses,,0.2
symbolic interaction,Q3,1.5
symmetry basel,Q2,2.2
symmetry culture and science,Q4,0.2
symmetry integrability and geometry methods and applications,Q2,1.1
symploke,Q4,0.2
symposium a quarterly journal in modern literatures,,0.8
symposium canadian journal of continental philosophy,,0.1
synapse structure function connectivity,Q3,2.5
synesis,,0.2
synlett,Q3,1.5
synopen,Q2,2.5
syntax a journal of theoretical experimental and interdisciplinary research,Q2,1.3
synthese,Q1,1.5
synthesis la plata,,0.4
synthesis philosophica,,0.1
synthesis stuttgart,Q3,2.2
synthetic and systems biotechnology,Q2,4.8
synthetic biology,Q1,4.7
synthetic communications,Q3,2
synthetic metals,Q2,4.5
system,Q1,8
system dynamics review,Q1,4.3
systematic and applied acarology,Q3,1.1
systematic and applied microbiology,Q3,3.2
systematic biology,Q1,6.2
systematic botany,Q4,0.9
systematic entomology,Q1,4.3
systematic parasitology,Q3,1.5
systematic reviews,Q1,5.7
systematics and biodiversity,Q2,2.1
systemic practice and action research,Q3,1.8
systems,Q1,3.8
systems and soft computing,Q2,3.6
systems biology in reproductive medicine,Q3,2
systems control letters,Q2,2.8
systems engineering,Q3,1.9
systems microbiology and biomanufacturing,Q2,3.5
systems research and behavioral science,Q2,1.9
systems science control engineering,Q1,5.6
sztuka i dokumentacja art documentation,,<0.1
taida journal of art history,,0.1
taiwan journal of east asian studies,,<0.1
taiwan journal of linguistics,,0.6
taiwan journal of ophthalmology,Q3,1.4
taiwan journal of tesol,Q4,0.3
taiwanese journal of mathematics,Q2,1.1
taiwanese journal of obstetrics gynecology,Q2,2.7
taiwania,Q3,1.1
talanta,Q1,6.7
talanta open,Q2,5.1
talia dixit revista interdisciplinar de retorica e historiografia,,0.1
taller de la historia,Q4,<0.1
taller de letras,,0.2
taltech journal of european studies,Q2,0.7
tamkang journal of mathematics,Q3,0.5
tang studies,,0.3
tangence,,<0.1
tanz,,<0.1
tappi journal,Q4,0.6
tapuya latin american science technology and society,Q2,0.9
target international journal of translation studies,Q2,1.5
targeted oncology,Q1,5.1
tarih incelemeleri dergisi,Q3,0.1
taxon,Q3,1.9
taxonomy,Q2,1.3
td the journal for transdisciplinary research in southern africa,Q3,1
tdr the drama review the journal of performance studies,,0.4
teacher development,Q3,1.3
teacher education and special education,Q1,2.7
teachers and teaching,Q1,2.8
teachers college record,Q3,1.3
teaching and learning in medicine,Q2,2.4
teaching and learning in nursing,Q2,2.5
teaching and teacher education,Q1,4.3
teaching artist journal,Q4,0.3
teaching education,Q2,1.9
teaching exceptional children,Q4,1
teaching in higher education,Q1,3.9
teaching learning inquiry the issotl journal,Q2,2.3
teaching mathematics and its applications,Q3,1
teaching of mathematics,Q4,0.2
teaching of psychology,Q2,1.7
teaching philosophy,,0.2
teaching public administration,Q3,1.3
teaching sociology,Q3,1.2
teaching statistics,Q3,1.3
teaching theology and religion,Q4,0.3
team performance management,Q3,2.5
teatro e storia,,0.1
tec empresarial,Q3,2.2
techne journal of technology for architecture and environment,,0.7
technical communication quarterly,Q3,1
technical innovations patient support in radiation oncology,Q3,2
technical physics,Q4,0.4
technical physics letters,Q4,0.8
technical services quarterly,Q3,1
techniques and innovations in gastrointestinal endoscopy,Q4,1.1
techniques in coloproctology,Q2,2.6
techniques in foot and ankle surgery,Q4,0.3
techniques in orthopaedics,Q4,0.1
techniques in vascular and interventional radiology,Q3,1.8
technoetic arts,,0.2
technological and economic development of economy,Q1,3.1
technological forecasting and social change,Q1,13.5
technologies,Q1,5.2
technology analysis strategic management,Q3,2.9
technology and culture,Q2,0.7
technology and disability,Q4,0.8
technology and health care,Q4,1.3
technology and innovation,Q3,0.9
technology architecture design,Q4,0.6
technology in cancer research treatment,Q3,2.7
technology in horticulture,Q2,2.1
technology in society,Q1,12.9
technology knowledge and learning,Q1,4.2
technology mind and behavior,Q1,3.4
technology pedagogy and education,Q1,2.5
technometrics,Q1,2.6
technovation,Q1,12
techtrends,Q1,5.2
tecnologia ciencia y educacion,Q4,0.6
tecnologia en marcha,Q4,0.2
tecnologia y ciencias del agua,Q4,0.4
tecnoscienza italian journal of science technology studies,Q3,0.9
tectonics,Q1,3.5
tectonophysics,Q2,2.4
tehnicki glasnik technical journal,Q4,0.7
tehnicki vjesnik technical gazette,Q3,1.3
tejuelo didactica de la lengua y la literatura,,0.6
teka komisji urbanistyki i architektury,,0.1
teknokultura revista de cultura digital y movimientos sociales,Q3,0.6
tekst kniga knigoizdanie text book publishing,,0.1
tekstil ve konfeksiyon,Q4,0.8
tekstilec,Q3,1.2
teksty drugie,,0.1
tel aviv journal of the institute of archaeology of tel aviv university,,1.2
telecom,Q3,2.8
telecommunication systems,Q3,2.2
telecommunications policy,Q1,6.5
telematics and informatics,Q1,9.9
telematics and informatics reports,Q1,5.9
telematique,Q4,0.2
telemedicine and e health,Q3,2.1
telemedicine reports,Q3,1.9
television new media,Q3,1.1
tellus series a dynamic meteorology and oceanography,Q4,1.4
tellus series b chemical and physical meteorology,Q4,1.1
telopea,Q4,0.8
telos,Q4,0.2
telos revista de estudios interdisciplinarios en ciencias sociales,Q4,0.4
tem journal technology education management informatics,Q4,0.9
tema journal of land use mobility and environment,Q3,1.8
temas agrarios,Q3,0.9
temas americanistas,Q3,0.1
temas de nuestra america revista de estudios latinoamericanos,Q4,0.1
temas y debates,Q4,0.1
temenos,,0.9
temida,Q4,0.2
tempo,,0.1
tempo e argumento,Q3,0.1
tempo niteroi,Q3,0.2
tempo social,Q4,0.4
tenside surfactants detergents,Q4,1.5
teoliteraria revista brasileira de literaturas e teologias,,0.1
teologia,,0.1
teologia y vida,,0.3
teorema,,<0.1
teoria de la educacion,Q3,1.2
teoria e pratica em administracao tpa,Q4,0.1
teoria rivista di filosofia,,<0.1
teoria y realidad constitucional,Q3,0.6
teorija in praksa,Q4,0.2
ter es tarsadalom,Q3,0.7
terapevticheskii arkhiv,Q4,0.3
terapia psicologica,Q4,0.8
tercio creciente,,0.1
terminology,Q3,1
terra economicus,Q4,0.7
terra latinoamericana,Q4,0.7
terra nova,Q3,1.9
terrae incognitae the journal of the society for the history of discoveries,Q3,0.2
terrestrial atmospheric and oceanic sciences,Q3,1.7
territoire en mouvement,Q4,0.1
territorios,Q4,0.5
territory politics governance,Q1,2.6
terrorism and political violence,Q2,2.2
tertiary education and management,Q2,2.4
tesl canada journal,Q3,1
tesol journal,Q2,2
tesol quarterly,Q1,5.1
test,Q2,1.5
tethys journal of mediterranean meteorology climatology,Q4,<0.1
tetrahedron,Q3,2.1
tetrahedron chem,Q1,3.5
tetrahedron letters,Q3,1.4
tetsu to hagane journal of the iron and steel institute of japan,Q4,0.4
texas heart institute journal,Q4,0.9
texas law review,Q1,2.1
texas studies in literature and language,,<0.1
text and performance quarterly,,0.2
text matters a journal of literature theory and culture,,0.1
text talk,Q3,0.9
textile cloth and culture,,0.5
textile history,,0.3
textile progress,Q1,4.4
textile research journal,Q2,2.2
textiles,Q1,4.8
texto livre linguagem e tecnologia,,0.8
textual practice,,0.3
textus,,0.1
th open,Q3,1.8
thai journal of mathematics,Q4,0.4
thai journal of veterinary medicine,Q4,0.6
thailand statistician,Q3,1
thalassas,Q3,1
thalassemia reports,Q2,2.4
theater,,0.1
theater heute,,<0.1
theatre dance and performance training,,0.3
theatre history studies,,0.1
theatre journal,,0.6
theatre notebook,,0.3
theatre research international,,0.6
theatre survey,,0.1
theleme revista complutense de estudios franceses,,0.1
themata revista de filosofia,,0.1
theological studies,,0.8
theology,,0.2
theology and science,Q2,0.7
theology sexuality,,0.6
theology today,,0.1
theoretical and applied climatology,Q3,3.2
theoretical and applied ecology,Q4,0.5
theoretical and applied fracture mechanics,Q1,6
theoretical and applied genetics,Q1,4.1
theoretical and applied mechanics,Q4,0.7
theoretical and applied mechanics letters,Q2,3
theoretical and computational fluid dynamics,Q1,3.4
theoretical and experimental chemistry,Q4,0.8
theoretical and experimental plant physiology,Q2,2.4
theoretical and mathematical physics,Q3,1
theoretical and practical issues of journalism,Q4,0.4
theoretical biology forum,Q4,0.3
theoretical chemistry accounts,Q4,1.8
theoretical computer science,Q3,1.1
theoretical criminology,Q2,1.9
theoretical ecology,Q4,1.4
theoretical economics,Q3,1.3
theoretical foundations of chemical engineering,Q4,0.4
theoretical issues in ergonomics science,Q3,1.9
theoretical linguistics,Q3,0.8
theoretical medicine and bioethics,Q2,1.7
theoretical population biology,Q4,1.4
theoria,Q4,0.6
theoria a swedish journal of philosophy,,0.6
theoria revista de teoria historia y fundamentos de la ciencia,Q3,0.5
theory and applications of categories,Q3,0.6
theory and decision,Q4,0.4
theory and practice of legislation,Q2,1.2
theory and practice of logic programming,Q1,1.3
theory and research in education,Q2,1.7
theory and research in social education,Q1,2.7
theory and society,Q2,1.9
theory culture society,Q1,1.5
theory in action,Q4,0.1
theory in biosciences,Q2,2
theory into practice,Q1,2.8
theory of computing,Q4,0.4
theory of computing systems,Q3,0.6
theory of probability and its applications,Q4,0.5
theory of probability and mathematical statistics,Q4,0.5
theory psychology,Q2,1.8
theranostics,Q1,14.9
therapeutic advances in allergy and rhinology,Q4,0.9
therapeutic advances in cardiovascular disease,Q2,3.3
therapeutic advances in chronic disease,Q3,2.7
therapeutic advances in drug safety,Q2,3.3
therapeutic advances in endocrinology and metabolism,Q1,7.8
therapeutic advances in gastroenterology,Q2,3.8
therapeutic advances in gastrointestinal endoscopy,Q4,1.2
therapeutic advances in hematology,Q2,2.8
therapeutic advances in infectious disease,Q2,3.8
therapeutic advances in medical oncology,Q2,4.1
therapeutic advances in musculoskeletal disease,Q2,3.3
therapeutic advances in neurological disorders,Q1,4
therapeutic advances in ophthalmology,Q3,2
therapeutic advances in psychopharmacology,Q1,5
therapeutic advances in pulmonary and critical care medicine,Q1,4.4
therapeutic advances in reproductive health,Q2,2.3
therapeutic advances in respiratory disease,Q2,3.2
therapeutic advances in urology,Q1,3.5
therapeutic apheresis and dialysis,Q3,1.5
therapeutic communities,Q4,0.3
therapeutic delivery,Q2,3.4
